Source,Target,Weight
MO,ABBV,1928
CRM,ABBV,4256
CSCO,ABBV,963
ES,ABBV,67
CVNA,ABBV,46
WFC,ABBV,839
KO,ABBV,5241
SNAP,ABBV,1990
FCX,ABBV,170
ZNGA,ABBV,182
BBBY,ABBV,97
WKHS,ABBV,195
MRNA,ABBV,956
EA,ABBV,197
MSTR,ABBV,958
APT,ABBV,524
GMBL,ABBV,194
CVS,ABBV,709
MCD,ABBV,3244
DLTR,ABBV,130
NVDA,ABBV,1489
ENPH,ABBV,383
SOFI,ABBV,106
SCHW,ABBV,64
LLY,ABBV,3647
GS,ABBV,2187
GOOGL,ABBV,5655
COP,ABBV,229
CZR,ABBV,24
GEVO,ABBV,6
UAVS,ABBV,2
IBIO,ABBV,12
SBUX,ABBV,2643
KODK,ABBV,1
PFE,ABBV,4987
SNOW,ABBV,144
SRNE,ABBV,6
JAGX,ABBV,57
CAT,ABBV,671
PLTR,ABBV,93
LUV,ABBV,522
XSPA,ABBV,5
TTD,ABBV,38
MRK,ABBV,4355
AAL,ABBV,1156
TRIP,ABBV,167
JAKK,ABBV,5
JPM,ABBV,3332
WYNN,ABBV,47
CVX,ABBV,3577
NKE,ABBV,1344
AXP,ABBV,183
META,ABBV,4054
LMT,ABBV,525
ATVI,ABBV,1887
WMT,ABNB,1048
FSR,ABNB,73
EBAY,ABNB,238
ATVI,ABNB,299
M,ABNB,360
WFC,ABNB,131
GOOGL,ABNB,3458
V,ABNB,297
DKNG,ABNB,2325
LULU,ABNB,425
INO,ABNB,37
ESE,ABNB,3
STEM,ABNB,67
IBM,ABNB,162
RIVN,ABNB,582
MCD,ABNB,86
PTON,ABNB,774
PHUN,ABNB,22
DVN,ABNB,2402
UBER,ABNB,5106
PLTR,ABNB,2385
XOM,ABNB,425
LMND,ABNB,123
TRIP,ABNB,450
TNXP,ABNB,16
CZR,ABNB,377
BIOL,ABNB,8
SRNE,ABNB,16
CRM,ABNB,705
KODK,ABNB,19
EA,ABNB,430
HOOD,ABNB,893
NOVN,ABNB,14
UNH,ABNB,128
AMGN,ABNB,122
NKE,ABNB,404
MSFT,ABNB,2503
JPM,ABNB,371
SPCE,ABNB,239
JAKK,ABNB,10
MRNA,ABNB,3840
AAL,ABNB,1530
T,ABNB,231
UAVS,ABNB,80
FCX,ABNB,141
MMM,ABNB,57
MSTR,ABNB,716
KSS,ABNB,48
COP,ABNB,1734
RIOT,ABNB,194
UPST,ABNB,2347
GM,ABNB,1288
PYPL,ABNB,3869
CMG,ABNB,124
PINS,ABNB,1503
CMCSA,ABNB,79
SOLO,ABNB,14
F,ABNB,718
ZNGA,ABNB,53
TLRY,ABNB,1309
CHWY,ABNB,385
HYMC,ABNB,27
DWAC,ABNB,832
CLOV,ABNB,201
CVS,ABNB,653
UPS,ABNB,135
QCOM,ABNB,1049
RBLX,ABNB,2578
APT,ABNB,18
XELA,ABNB,17
LUV,ABNB,165
BA,ABNB,3002
MO,ABNB,59
HAL,ABNB,139
W,ABNB,159
AMC,ABNB,2181
PFE,ABNB,4276
GNUS,ABNB,26
TWLO,ABNB,641
LLY,ABNB,320
PG,ABNB,95
BYND,ABNB,534
ZM,ABNB,2091
OGN,ABNB,10
SBUX,ABNB,1774
VZ,ABNB,80
MS,ABNB,132
AMZN,ABNB,6061
X,ABNB,73
ES,ABNB,126
NFLX,ABNB,3539
GME,ABNB,1781
IBIO,ABNB,9
TGT,ABNB,240
COST,ABNB,1611
NKLA,ABNB,108
GEVO,ABNB,8
CEMI,ABNB,9
TSLA,ABNB,9941
CAT,ABNB,964
TDOC,ABNB,300
MU,ABNB,643
PEP,ABNB,160
BNGO,ABNB,99
SNAP,ABNB,824
WBA,ABNB,122
A,ABNB,321
JBLU,ABNB,190
NET,ABNB,851
BK,ABNB,17
BBIG,ABNB,1251
WYNN,ABNB,455
AXP,ABNB,164
MA,ABNB,210
BBBY,ABNB,125
ATER,ABNB,31
HD,ABNB,278
MRO,ABNB,796
DOCU,ABNB,279
GS,ABNB,246
NVDA,ABNB,5695
