Source,Target,Weight
SBUX,HD,299
AMGN,HD,511
SRPT,HD,252
FB,HD,1631
GM,IBM,1252
PCLN,IBM,481
QCOM,IBM,1507
XOM,IBM,1149
PFE,IBM,953
NVDA,IBM,2384
WMT,IBM,1444
GOOGL,IBM,8342
C,IBM,826
T,IBM,558
FB,IBM,4828
HD,IBM,1176
VZ,IBM,1536
GE,IBM,4896
TSLA,IBM,3300
GILD,IBM,742
TGT,IBM,674
AMGN,IBM,473
MRK,IBM,1823
V,IBM,1534
KO,IBM,3283
MSFT,IBM,9290
SRPT,IBM,269
DIS,IBM,2274
SBUX,IBM,316
MU,IBM,229
AAPL,IBM,10998
CSCO,IBM,2196
BAC,IBM,2308
MCD,IBM,1457
AMZN,IBM,7176
AMD,IBM,1012
WFC,IBM,1219
JPM,IBM,2569
CAT,IBM,1246
CMG,IBM,1619
BMY,IBM,387
GS,IBM,3730
M,IBM,394
X,IBM,189
NFLX,IBM,4161
PEP,IBM,2573
INTC,IBM,3222
F,IBM,1199
TWTR,IBM,3454
JNJ,IBM,3338
MS,IBM,1404
BA,IBM,2263
SNAP,IBM,1297
GE,INTC,1875
CAT,INTC,2386
NFLX,INTC,3328
BMY,INTC,323
WFC,INTC,935
V,INTC,1286
AAPL,INTC,16929
GM,INTC,1548
BA,INTC,1847
X,INTC,842
TWTR,INTC,2249
SBUX,INTC,1167
AMGN,INTC,421
BAC,INTC,2010
SNAP,INTC,704
XOM,INTC,1123
TSLA,INTC,3907
MCD,INTC,2034
VZ,INTC,766
DIS,INTC,2042
PEP,INTC,364
AMD,INTC,11343
GS,INTC,1311
T,INTC,2091
JPM,INTC,2578
M,INTC,199
PFE,INTC,1163
KO,INTC,863
C,INTC,1172
GILD,INTC,1387
WMT,INTC,639
GOOGL,INTC,15598
MRK,INTC,1112
NVDA,INTC,18017
MU,INTC,3343
IBM,INTC,3088
AMZN,INTC,11835
MSFT,INTC,16731
QCOM,INTC,3637
PCLN,INTC,787
FB,INTC,11077
CMG,INTC,1263
MS,INTC,179
JNJ,INTC,1384
TGT,INTC,258
CSCO,INTC,3977
F,INTC,2384
HD,INTC,831
SRPT,INTC,220
MRK,JNJ,8034
INTC,JNJ,1193
WMT,JNJ,1198
NVDA,JNJ,1564
C,JNJ,417
CSCO,JNJ,603
IBM,JNJ,3383
HD,JNJ,1152
PCLN,JNJ,236
MSFT,JNJ,4352
XOM,JNJ,1400
F,JNJ,809
GM,JNJ,459
KO,JNJ,3236
GS,JNJ,2301
BA,JNJ,1052
BMY,JNJ,5080
SBUX,JNJ,992
BAC,JNJ,2279
X,JNJ,106
AMGN,JNJ,2478
FB,JNJ,2363
T,JNJ,1233
AMD,JNJ,352
CMG,JNJ,593
MU,JNJ,343
SNAP,JNJ,629
AMZN,JNJ,2983
TWTR,JNJ,1821
GOOGL,JNJ,3483
MS,JNJ,1273
TSLA,JNJ,1136
AAPL,JNJ,5750
M,JNJ,295
GILD,JNJ,6902
WFC,JNJ,1011
TGT,JNJ,444
QCOM,JNJ,1597
GE,JNJ,2419
JPM,JNJ,1582
MCD,JNJ,1392
PEP,JNJ,1991
PFE,JNJ,4159
DIS,JNJ,1344
SRPT,JNJ,1468
V,JNJ,1561
VZ,JNJ,1371
CAT,JNJ,453
NFLX,JNJ,1847
FB,JPM,5271
SRPT,JPM,114
X,JPM,865
GOOGL,JPM,5107
GE,JPM,1924
WFC,JPM,10773
CSCO,JPM,2074
MRK,JPM,2520
AMZN,JPM,5423
BMY,JPM,1529
GM,JPM,743
AAPL,JPM,9142
GILD,JPM,414
TGT,JPM,323
T,JPM,1030
NFLX,JPM,4467
DIS,JPM,1802
IBM,JPM,2390
MU,JPM,2048
HD,JPM,1206
TSLA,JPM,4230
SBUX,JPM,143
BA,JPM,1716
GS,JPM,14262
XOM,JPM,1641
BAC,JPM,18604
SNAP,JPM,1073
C,JPM,16746
CAT,JPM,1436
AMD,JPM,2484
VZ,JPM,602
PFE,JPM,2263
MS,JPM,5580
TWTR,JPM,2095
MSFT,JPM,4203
JNJ,JPM,1828
AMGN,JPM,369
NVDA,JPM,3136
KO,JPM,1153
WMT,JPM,1414
QCOM,JPM,404
M,JPM,253
PEP,JPM,980
F,JPM,596
PCLN,JPM,781
CMG,JPM,633
V,JPM,1864
INTC,JPM,2369
MCD,JPM,1193
GOOGL,KO,5054
VZ,KO,717
MU,KO,173
WMT,KO,1496
JPM,KO,989
MS,KO,54
QCOM,KO,153
C,KO,498
INTC,KO,936
WFC,KO,1217
SBUX,KO,746
AMD,KO,327
TGT,KO,424
NVDA,KO,484
PFE,KO,973
T,KO,1104
BAC,KO,1208
AMZN,KO,4143
CAT,KO,814
V,KO,653
GM,KO,1170
MRK,KO,2646
DIS,KO,1402
TWTR,KO,5154
SRPT,KO,386
CSCO,KO,605
GE,KO,1884
AAPL,KO,6701
SNAP,KO,856
PCLN,KO,231
CMG,KO,1535
M,KO,352
BMY,KO,414
X,KO,233
JNJ,KO,3500
BA,KO,1171
FB,KO,2269
HD,KO,1159
F,KO,1616
IBM,KO,3257
MCD,KO,1818
TSLA,KO,942
PEP,KO,7282
MSFT,KO,3047
XOM,KO,1320
GS,KO,649
AMGN,KO,874
NFLX,KO,815
GILD,KO,1205
F,M,363
C,M,275
CSCO,M,114
NFLX,M,550
HD,M,837
WMT,M,2754
JPM,M,206
GE,M,464
T,M,387
IBM,M,200
WFC,M,105
MS,M,101
TSLA,M,905
TGT,M,2763
AAPL,M,1079
DIS,M,1218
PEP,M,167
AMZN,M,4718
GILD,M,95
MRK,M,117
GM,M,212
CMG,M,207
INTC,M,188
SRPT,M,29
GOOGL,M,525
PFE,M,74
FB,M,592
QCOM,M,151
XOM,M,349
X,M,341
AMGN,M,49
NVDA,M,1534
MCD,M,142
BA,M,113
TWTR,M,411
PCLN,M,1497
CAT,M,99
KO,M,341
SNAP,M,1223
SBUX,M,176
V,M,230
VZ,M,152
BMY,M,56
AMD,M,408
GS,M,278
BAC,M,340
MU,M,259
MSFT,M,292
JNJ,M,84
BA,MCD,2379
TWTR,MCD,2058
CAT,MCD,2384
GE,MCD,725
IBM,MCD,1593
CMG,MCD,3538
JPM,MCD,1290
SBUX,MCD,1885
WMT,MCD,1118
PFE,MCD,252
QCOM,MCD,336
VZ,MCD,422
INTC,MCD,2173
GS,MCD,1105
DIS,MCD,1139
KO,MCD,1850
M,MCD,215
PCLN,MCD,151
HD,MCD,994
GM,MCD,1251
GILD,MCD,724
TGT,MCD,228
BMY,MCD,155
MRK,MCD,643
X,MCD,511
XOM,MCD,1032
AMZN,MCD,3716
GOOGL,MCD,3418
AMD,MCD,1070
T,MCD,1393
JNJ,MCD,1665
V,MCD,1514
CSCO,MCD,597
BAC,MCD,792
MS,MCD,90
AAPL,MCD,3395
MU,MCD,117
F,MCD,1223
TSLA,MCD,1065
PEP,MCD,978
FB,MCD,1696
MSFT,MCD,2958
WFC,MCD,528
C,MCD,465
NFLX,MCD,1385
NVDA,MCD,759
AMGN,MCD,192
SNAP,MCD,361
SRPT,MCD,54
SBUX,MRK,79
AMD,MRK,1463
GOOGL,MRK,1665
CSCO,MRK,1475
BA,MRK,756
GS,MRK,1539
GILD,MRK,6517
GE,MRK,934
VZ,MRK,719
PEP,MRK,1791
SRPT,MRK,1283
IBM,MRK,2056
X,MRK,60
PFE,MRK,8488
AMGN,MRK,5205
KO,MRK,2414
FB,MRK,1178
V,MRK,582
M,MRK,376
QCOM,MRK,68
BMY,MRK,10699
GM,MRK,451
NVDA,MRK,154
MU,MRK,1342
INTC,MRK,1166
MCD,MRK,596
JPM,MRK,2408
WMT,MRK,321
C,MRK,2122
